inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
4,2,1,1,3,3,Right,Curveball,BallCalled,69.01,1944.9,5.359,6.137,1.697,2.5952,-0.1236,-0.6308,-8.8826,3.407,0.841,-8.7751,-1.7028,NA,Undefined
4,2,2,1,3,4,Right,Slider,BallCalled,71.04,2253.34,5.545,5.76,2.051,-0.4507,-3.1353,0.7411,-9.1163,0.537,-1.641,-11.0115,-4.7607,NA,Undefined
4,2,3,1,3,5,Right,FourSeamFastBall,FoulBallNotFieldable,81.76,1917.2,5.876,6.197,1.921,-1.3407,-2.5319,17.1568,11.1458,2.782,0.497,-6.2971,-0.5335,65.17,Undefined
4,2,3,2,3,6,Right,Slider,BallCalled,72.86,2092.19,5.674,5.734,2.402,0.4148,-4.0763,4.5308,-4.5021,1.965,-1.78,-8.7676,-4.8779,NA,Undefined
4,2,0,0,4,1,Right,FourSeamFastBall,StrikeSwinging,79.76,1849.44,5.808,5.799,2.531,-0.6218,-3.6105,15.4662,13.9106,2.787,0.328,-6.101,-1.1235,NA,Undefined
4,2,0,1,4,2,Right,FourSeamFastBall,BallCalled,80.65,1925.56,5.312,6.007,2.363,0.044,-0.8916,15.3143,12.2866,3.595,2.55,-5.4606,1.2901,NA,Undefined
4,2,1,1,4,3,Right,ChangeUp,BallCalled,70.67,1567.07,6.055,5.906,2.433,-1.1065,-1.9823,18.3016,11.4303,1.712,1.55,-8.2387,0.0762,NA,Undefined
4,2,2,1,4,4,Right,FourSeamFastBall,BallCalled,79.05,1841.43,5.33,6.192,2.3,0.2752,-1.0162,17.9982,12.2282,4.023,2.365,-5.2276,1.1554,NA,Undefined
3,0,1,2,1,4,Right,FourSeamFastBall,InPlay,85.07,2006.53,5.282,6.329,1.655,-2.019,-2.7283,15.2545,17.0001,2.377,0.507,-6.5982,0.2869,81.84,LineDrive
4,2,3,1,4,5,Right,FourSeamFastBall,StrikeSwinging,80.99,1881.47,5.602,6.051,1.861,-1.7818,-2.3531,19.7206,11.0275,2.254,0.582,-6.6927,-0.3857,NA,Undefined
4,0,0,0,5,1,Right,Sinker,BallCalled,87.06,1837.77,5.333,5.683,-2.498,-0.5564,3.1091,7.066,-18.7817,2.582,-1.143,-6.2535,-0.2243,NA,Undefined
4,1,0,0,3,1,Right,FourSeamFastBall,StrikeCalled,90.31,2172.54,6.071,6.052,-2.372,-3.7893,3.3171,23.2554,-10.0143,1.605,-0.133,-5.9842,1.5184,NA,Undefined
6,1,0,0,2,1,Left,FourSeamFastBall,StrikeSwinging,87.47,2052.38,6.214,5.842,-2.528,-2.0914,3.483,20.7271,-13.1445,2.586,-0.405,-5.1688,1.1153,NA,Undefined
4,2,0,0,3,2,Right,FourSeamFastBall,BallCalled,89.87,2081.02,6.035,6.098,-2.169,-1.9735,1.2429,22.7102,-13.1338,3.28,-2.113,-4.3013,-1.1201,NA,Undefined
6,1,0,1,2,2,Left,Slider,InPlay,73.73,1708.99,5.982,5.885,-2.327,0.7604,1.2817,-0.9308,9.6955,2.214,-0.331,-8.9161,3.0268,85.65,GroundBall
4,2,1,0,3,3,Right,FourSeamFastBall,BallCalled,89.23,2110.55,6.368,6.075,-2.243,-2.0498,4.4943,18.8724,-11.8864,2.88,0.911,-5.0513,2.3516,NA,Undefined
4,2,2,0,3,4,Right,FourSeamFastBall,BallCalled,88.58,2083.79,6.466,6.017,-2.342,-4.8782,4.2339,20.3114,-11.6418,0.248,0.584,-7.81,2.1296,NA,Undefined
6,2,0,0,3,1,Right,ChangeUp,BallCalled,81.14,1606.82,6.755,5.785,-2.315,-4.4645,4.9873,8.7017,-19.0104,-1.081,0.668,-10.6604,1.526,NA,Undefined
4,2,3,0,3,5,Right,FourSeamFastBall,InPlay,89.29,2225.55,6.27,6.089,-2.125,-2.6153,2.5842,19.9386,-13.7939,2.439,-0.891,-5.4811,0.0934,82.56,FlyBall
6,2,1,0,3,2,Right,ChangeUp,BallCalled,79.52,1509.15,6.819,5.736,-2.594,-2.577,3.0928,12.7057,-15.7579,0.855,-1.083,-8.3049,0.215,NA,Undefined
5,0,0,0,1,1,Right,FourSeamFastBall,BallCalled,84.78,2002.14,6.224,6.083,-2.292,-1.822,4.3766,21.4475,-11.9709,2.907,0.757,-5.297,2.2241,NA,Undefined
6,2,2,0,3,3,Right,FourSeamFastBall,FoulBallNotFieldable,88.1,2038.08,6.21,6.098,-2.192,-3.5877,4.5509,19.7716,-13.1893,1.412,0.918,-6.7244,2.1799,74.26,Undefined
