inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
3,0,1,2,4,4,Right,ChangeUp,StrikeSwinging,85.6,1800.71,5.474,5.969,1.58,-1.5127,-2.4067,0.3835,20.9029,1.334,1.069,-8.5589,1.3224,NA,Undefined
1,0,0,0,5,1,Left,ChangeUp,BallCalled,83.8,1377.15,6.699,5.882,1.59,-1.3583,-1.0079,6.3916,12.8605,1.934,1.74,-7.4659,1.3393,NA,Undefined
2,2,1,0,4,2,Right,ChangeUp,InPlay,83.07,1623.31,7.077,6.004,1.504,-0.7378,-2.4255,6.3242,13.9923,2.651,0.466,-6.8183,0.1435,87.27,GroundBall
1,0,1,0,5,2,Left,Sweeper,BallCalled,79.04,2611.83,5.723,5.914,1.675,-0.4491,0.2341,1.7403,-19.9527,1.872,0.23,-8.4291,-3.3424,NA,Undefined
1,0,2,0,5,3,Left,FourSeamFastBall,BallCalled,92.33,1986.46,6.515,6.023,1.555,-0.3894,-0.4846,12.1991,16.242,4.013,2.464,-4.1629,2.4655,NA,Undefined
1,0,3,0,5,4,Left,ChangeUp,BallCalled,85.31,1509.72,6.69,5.952,1.472,-2.7096,-3.1606,8.439,15.3828,1.055,-0.139,-8.1448,-0.3579,NA,Undefined
2,0,0,0,5,1,Left,FourSeamFastBall,InPlay,92.02,1557.48,6.759,6.092,1.23,-1.3553,-1.9974,10.8611,9.2392,3.118,0.174,-5.303,-0.312,96.48,GroundBall
1,0,0,0,6,1,Left,FourSeamFastBall,InPlay,91.97,1881.58,6.832,6.092,1.304,-1.3202,-2.0258,14.8206,10.3837,3.47,0.321,-4.5909,-0.1296,101.29,FlyBall
2,0,0,0,1,1,Right,FourSeamFastBall,BallCalled,90.62,1790.62,6.685,6.076,1.324,-0.3517,-2.8471,12.0727,11.5242,4.026,-0.322,-4.2916,-0.7505,NA,Undefined
2,0,1,0,1,2,Right,ChangeUp,BallCalled,84.3,1375.9,6.736,6,1.456,-2.2155,-3.2477,8.5111,8.0823,1.519,-0.841,-7.7289,-1.775,NA,Undefined
